"ID","Name","Rating","Price","Latitude","Longitude"
110,"Anaya Sushi",3,1,41.3084,-72.9326
111,"Ernie's Pizzeria",4.5,1,41.331,-72.9725
112,"Anchor Spa",4,1,41.3071,-72.929
113,"Jasmine Thai Cart",4.5,1,41.3079,-72.9266
114,"Marco Polo",3.5,1,41.304,-72.9245
115,"El Coqui Restaurant",4,1,41.3086,-72.8985
116,"The Spot - Frank Pepe Pizzeria Napoletana",4,1,41.3031,-72.9172
117,"Go Greenly",4,1,41.312,-72.9223
118,"Lena's Cafe & Confections",4,1,41.3268,-72.9594
119,"Great Wall of China",3.5,1,41.3122,-72.9215
120,"Mediterranea",4,1,41.3059,-72.9242
121,"Mexcalli Taco Truck",4.5,1,41.2936,-72.9182
122,"Anna Liffey's",4,1,41.3108,-72.9224
123,"Rudy's Bar & Grill",3.5,1,41.3094,-72.9352
124,"Tony & Lucille's Little Italy Restaurant",3,1,41.3026,-72.9166
125,"B-Natural Cafe",3.5,1,41.3073,-72.93
126,"Vito's Deli",4.5,1,41.3052,-72.9256
127,"Mecha Noodle Bar",4,1,41.3055,-72.9286
128,"The Marketa",3.5,1,41.3068,-72.9271
129,"Sitar",4,1,41.31,-72.9212
130,"Caseus Cheese Truck",4,1,41.3113,-72.9368
131,"Ali Baba's Fusion Food Cart",4.5,1,41.3161,-72.924
132,"Aladin Crown Pizza",3.5,1,41.3061,-72.9306
133,"Mecha-Uma",4.5,1,41.3052,-72.9269
134,"JP Dempsey's",3,1,41.3156,-72.91
135,"Pizza House",4,1,41.3107,-72.9345
136,"Pacífico",3,1,41.3063,-72.9298
137,"Imperial Wok",4,1,41.3045,-72.9372
138,"Jung's Kimchi Corner",4.5,1,41.304,-72.9349
139,"Atticus Bookstore & Cafe",3.5,1,41.3076,-72.9299
140,"Royal Palace",3.5,1,41.3038,-72.9254
141,"Elm City Games",5,1,41.3049,-72.9233
142,"Dee Asian Kitchen",3,1,41.3063,-72.9271
143,"Tijuana Taco Company",4,1,41.3055,-72.9289
144,"House of Naan Indian Kitchen and Bar",5,1,41.3095,-72.935
145,"Cody's Diner",3,1,41.301,-72.9166
146,"Est Est Est Pizza",3,1,41.3086,-72.9332
147,"P&M Orange Street Market",4,1,41.32,-72.9131
148,"Blaze Fast-Fire'd Pizza",4,1,41.2873,-72.9283
149,"Lucy's Place",3.5,NA,41.32,-72.8942
